year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2021,Mathematics Advanced,16769.0,80.0,5,23.0,27.0,29.0,15.0,4.0
2021,Mathematics Extension 1,8547.0,42.0,E3,,,37.0,37.0,20.0
2021,Mathematics Extension 2,3193.0,88.0,E3,,,43.0,44.0,12.0
2021,Modern History,10890.0,75.0,4,11.0,27.0,27.0,19.0,10.0
2021,History Extension,1742.0,40.0,E3,,,23.0,54.0,21.0
2021,Music 1,4697.0,83.0,5,20.0,44.0,25.0,9.0,1.0
2021,Music 2,710.0,89.0,5,45.0,43.0,11.0,,
2021,Music Extension,381.0,46.0,E4,,,64.0,31.0,4.0
2021,PDH&PE,16482.0,73.0,4,7.0,24.0,29.0,26.0,11.0
2021,Physics,7922.0,77.0,4,12.0,28.0,31.0,20.0,7.0
2021,Science Extension,715.0,37.0,E3,,,10.0,62.0,27.0
2021,Society & Culture,4739.0,78.0,4,13.0,33.0,34.0,14.0,4.0
2021,Software Design & Development,1714.0,75.0,4,12.0,24.0,31.0,22.0,9.0
2021,Studies of Religion I,8389.0,38.0,4,13.0,29.0,27.0,23.0,7.0
2021,Studies of Religion II,6132.0,78.0,4,13.0,34.0,26.0,19.0,7.0
2021,Textiles & Design,1189.0,81.0,5,17.0,40.0,24.0,12.0,5.0
2021,Visual Arts,8417.0,83.0,5,17.0,46.0,28.0,8.0,1.0
2021,Arabic Continuers,275.0,83.0,5,19.0,48.0,29.0,1.0,1.0
2021,Arabic Extension,68.0,45.0,E4,,,50.0,46.0,4.0
2021,Armenian Continuers,22.0,80.0,5,23.0,41.0,36.0,,
2021,Chinese Beginners,67.0,84.0,5,37.0,16.0,19.0,18.0,7.0
2021,Chinese Continuers,209.0,86.0,5,43.0,28.0,18.0,9.0,2.0
2021,Chinese Extension,49.0,46.0,E4,,,67.0,31.0,2.0
2021,Chinese & Literature,373.0,84.0,5,21.0,48.0,23.0,5.0,2.0
2021,Chinese in Context,130.0,92.0,6,62.0,22.0,11.0,4.0,1.0
2021,Classical Greek Continuers,14.0,94.0,6,79.0,21.0,,,
2021,Classical Hebrew Continuers,28.0,88.0,5,46.0,36.0,4.0,7.0,
2021,Classical Hebrew Extension,15.0,46.0,E4,,,60.0,40.0,
2021,French Beginners,380.0,80.0,5,25.0,26.0,24.0,12.0,9.0
2021,French Continuers,598.0,84.0,5,33.0,30.0,25.0,10.0,2.0
2021,French Extension,132.0,40.0,E3,,,24.0,55.0,19.0
2021,German Beginners,104.0,84.0,5,33.0,24.0,20.0,13.0,9.0
2021,German Continuers,152.0,84.0,5,37.0,31.0,17.0,11.0,4.0
2021,German Extension,45.0,46.0,E4,,,73.0,24.0,2.0
2021,Hindi Continuers,23.0,85.0,5,35.0,35.0,30.0,,
2021,Indonesian Beginners,19.0,80.0,5,11.0,42.0,21.0,21.0,5.0
2021,Indonesian Continuers,62.0,80.0,5,29.0,21.0,21.0,21.0,6.0
2021,Indonesian Extension,17.0,43.0,E3,,,41.0,41.0,18.0
2021,Indonesian & Literature,13.0,83.0,5,15.0,46.0,15.0,23.0,
2021,Italian Beginners,321.0,79.0,4,21.0,27.0,26.0,20.0,5.0
2021,Italian Continuers,198.0,87.0,5,39.0,33.0,20.0,6.0,3.0
2021,Italian Extension,36.0,46.0,E4,,,53.0,47.0,
2021,Japanese Beginners,545.0,73.0,4,13.0,22.0,22.0,20.0,14.0
2021,Japanese Continuers,632.0,82.0,5,27.0,31.0,20.0,14.0,7.0
2021,Japanese Extension,166.0,46.0,E4,,,60.0,31.0,7.0
2021,Japanese & Literature,10.0,81.0,5,10.0,40.0,40.0,10.0,
2021,Japanese in Context,33.0,86.0,5,18.0,70.0,12.0,,
2021,Korean Beginners,110.0,83.0,5,25.0,36.0,28.0,7.0,4.0
2021,Korean Continuers,19.0,92.0,6,68.0,16.0,11.0,5.0,
2021,Korean & Literature,25.0,88.0,5,32.0,52.0,12.0,4.0,
2021,Korean in Context,42.0,92.0,6,71.0,19.0,7.0,2.0,
2021,Latin Continuers,154.0,89.0,5,47.0,30.0,15.0,5.0,3.0
2021,Latin Extension,101.0,48.0,E4,,,78.0,17.0,5.0
2021,Macedonian Continuers,26.0,77.0,4,12.0,31.0,23.0,19.0,15.0
2021,Modern Greek Beginners,69.0,92.0,6,61.0,23.0,6.0,6.0,4.0
2021,Modern Greek Continuers,53.0,85.0,5,38.0,45.0,17.0,,
2021,Modern Greek Extension,16.0,42.0,E3,,,44.0,19.0,38.0
2021,Modern Hebrew Continuers,31.0,93.0,6,71.0,26.0,3.0,,
2021,Persian Continuers,27.0,86.0,5,41.0,44.0,15.0,,
2021,Polish Continuers,16.0,86.0,5,31.0,44.0,25.0,,
2021,Portuguese Continuers,13.0,90.0,6,54.0,23.0,8.0,15.0,
2021,Punjabi Continuers,26.0,91.0,6,58.0,35.0,4.0,4.0,
2021,Russian Continuers,18.0,86.0,5,33.0,50.0,11.0,6.0,
2021,Serbian Continuers,12.0,92.0,6,67.0,33.0,,,
2021,Spanish Beginners,275.0,81.0,5,22.0,32.0,23.0,14.0,6.0
2021,Spanish Continuers,155.0,79.0,4,9.0,39.0,32.0,19.0,1.0
2021,Spanish Extension,51.0,44.0,E3,,,47.0,51.0,2.0
2021,Tamil Continuers,36.0,93.0,6,83.0,17.0,,,
2021,Turkish Continuers,38.0,86.0,5,24.0,50.0,26.0,,
2021,Vietnamese Continuers,217.0,83.0,5,15.0,54.0,26.0,4.0,1.0
2021,Automotive Exam,219.0,68.0,3,2.0,11.0,32.0,32.0,22.0
2021,Business Services Exam,1276.0,74.0,4,5.0,29.0,31.0,23.0,11.0
